+--------+---------+-------+-------------+-------------+
|  cust  |   prod  | month | 1_avg_quant | 1_max_quant |
|  Mia   |   Ice   |   1   |     1596    |     737     |
|  Chae  |  Apple  |   10  |     3264    |     913     |
|  Dan   | Jellies |   4   |     3783    |     983     |
| Helen  |  Apple  |   4   |     3729    |     899     |
| Claire |   Ham   |   6   |     2040    |     952     |
| Helen  |  Grapes |   7   |     3189    |     844     |
|  Dan   |  Grapes |   1   |     1241    |     722     |
| Wally  |  Cherry |   10  |     5072    |     893     |
|  Mia   |  Grapes |   4   |     2037    |     924     |
| Wally  |  Grapes |   5   |     3477    |     944     |
|  Sam   |   Fish  |   7   |     2066    |     785     |
|  Dan   |  Cherry |   10  |     1965    |     626     |
|  Sam   |   Ham   |   6   |     2182    |     834     |
| Helen  |  Dates  |   7   |     1740    |     633     |
|  Boo   |  Apple  |   6   |     3841    |     844     |
| Claire |   Fish  |   4   |     1878    |     584     |
|  Dan   |  Grapes |   3   |     3639    |     732     |
|  Mia   |   Ham   |   11  |     2570    |     811     |
|  Boo   |  Cherry |   5   |     2464    |     652     |
| Claire |   Eggs  |   7   |     2933    |     714     |
| Claire |  Cherry |   10  |     1954    |     790     |
| Claire |  Dates  |   11  |     660     |     351     |
|  Boo   |  Dates  |   8   |     1682    |     961     |
|  Dan   |   Fish  |   6   |     4353    |     972     |
| Emily  |  Cherry |   8   |     2403    |     923     |
+--------+---------+-------+-------------+-------------+
['1_cust = cust', '1_prod = prod', '1_month = month']
['1_cust = cust', '1_prod = prod', '1_month = month']
['1_cust = cust', '1_prod = prod', '1_month = month']
